Execution,Algorithm,Workflow,Hosts,Best ENERGY,Mean ENERGY,Min ENERGY,Max ENERGY,Best MAKESPAN,Mean MAKESPAN,Min MAKESPAN,Max MAKESPAN
soykb-chameleon-10fastq-20ch-001-hosts-16-simple-energy-mono,simple-energy-mono,soykb-chameleon-10fastq-20ch-001,16,16283781.637638,16344472.250892,16283781.637638,16406209.072705,8947.992860,9006.515927,8947.992860,9083.835344
soykb-chameleon-30fastq-10ch-001-hosts-2-simple-energy-mono,simple-energy-mono,soykb-chameleon-30fastq-10ch-001,2,11121296.111822,11168196.851521,11121296.111822,11199219.712361,36615.672419,37596.542417,36615.672419,39145.810664
soykb-chameleon-30fastq-10ch-001-hosts-4-simple-energy-mono,simple-energy-mono,soykb-chameleon-30fastq-10ch-001,4,12207050.074971,12313838.977219,12207050.074971,12387144.970434,18762.793862,19659.423379,18762.793862,20352.550918
soykb-chameleon-30fastq-10ch-001-hosts-8-simple-energy-mono,simple-energy-mono,soykb-chameleon-30fastq-10ch-001,8,14771078.975203,14867525.854295,14771078.975203,14968573.184251,11265.013378,13291.041153,11265.013378,14791.018691
soykb-chameleon-30fastq-10ch-001-hosts-16-simple-energy-mono,simple-energy-mono,soykb-chameleon-30fastq-10ch-001,16,18634409.934881,18821742.370044,18634409.934881,18956384.301286,9022.033553,9341.994165,9022.033553,9741.166356
soykb-chameleon-40fastq-20ch-001-hosts-2-simple-energy-mono,simple-energy-mono,soykb-chameleon-40fastq-20ch-001,2,30089940.061388,30132425.234853,30089940.061388,30171167.739762,98275.607910,99620.689559,98275.607910,100989.714603
soykb-chameleon-40fastq-20ch-001-hosts-4-simple-energy-mono,simple-energy-mono,soykb-chameleon-40fastq-20ch-001,4,35737487.510678,35852395.498155,35737487.510678,35995847.182670,65190.947824,66179.155376,65190.947824,67363.414516
soykb-chameleon-40fastq-20ch-001-hosts-8-simple-energy-mono,simple-energy-mono,soykb-chameleon-40fastq-20ch-001,8,47782148.491783,47915537.094324,47782148.491783,48078411.238537,54373.561751,54632.946579,54373.561751,55455.848750
soykb-chameleon-40fastq-20ch-001-hosts-16-simple-energy-mono,simple-energy-mono,soykb-chameleon-40fastq-20ch-001,16,65641775.181146,65954025.450343,65641775.181146,66416029.838507,37054.357070,37305.750059,37054.357070,37450.699033
srasearch-chameleon-10a-005-hosts-2-simple-energy-mono,simple-energy-mono,srasearch-chameleon-10a-005,2,1909078.746815,1912655.906504,1909078.746815,1922112.885644,7808.573255,8267.328822,7808.573255,8350.789229
srasearch-chameleon-10a-005-hosts-4-simple-energy-mono,simple-energy-mono,srasearch-chameleon-10a-005,4,1916726.398555,1953976.199513,1916726.398555,1975269.528824,3330.697243,3667.834557,3330.697243,4193.401172
srasearch-chameleon-10a-005-hosts-8-simple-energy-mono,simple-energy-mono,srasearch-chameleon-10a-005,8,1972065.241653,2013715.843617,1972065.241653,2034872.872282,1546.065035,1762.385998,1546.065035,2021.375353
srasearch-chameleon-10a-005-hosts-16-simple-energy-mono,simple-energy-mono,srasearch-chameleon-10a-005,16,2109854.192280,2222566.306828,2109854.192280,2274616.317378,967.923835,986.831811,967.923835,1001.311343
srasearch-chameleon-20a-003-hosts-2-simple-energy-mono,simple-energy-mono,srasearch-chameleon-20a-003,2,10014844.518730,10084163.878519,10014844.518730,10157419.092011,39107.528324,41521.968647,39107.528324,43968.977227
srasearch-chameleon-20a-003-hosts-4-simple-energy-mono,simple-energy-mono,srasearch-chameleon-20a-003,4,10176213.977458,10257262.959583,10176213.977458,10373629.744836,15946.183533,18130.004728,15946.183533,19416.979611
srasearch-chameleon-20a-003-hosts-8-simple-energy-mono,simple-energy-mono,srasearch-chameleon-20a-003,8,10452722.640337,10591066.040411,10452722.640337,10739780.855144,5737.197121,7815.857131,5737.197121,9511.838556
srasearch-chameleon-20a-003-hosts-16-simple-energy-mono,simple-energy-mono,srasearch-chameleon-20a-003,16,10917758.433508,11301517.235871,10917758.433508,11579069.759597,4138.155700,4277.635647,4138.155700,4678.891433
srasearch-chameleon-40a-003-hosts-2-simple-energy-mono,simple-energy-mono,srasearch-chameleon-40a-003,2,12097478.453556,12156223.675763,12097478.453556,12221939.684544,40836.683103,43662.874217,40836.683103,46212.038040
srasearch-chameleon-40a-003-hosts-4-simple-energy-mono,simple-energy-mono,srasearch-chameleon-40a-003,4,12182934.077778,12339298.779083,12182934.077778,12467764.184699,16765.993446,19144.122171,16765.993446,21961.947743
srasearch-chameleon-40a-003-hosts-8-simple-energy-mono,simple-energy-mono,srasearch-chameleon-40a-003,8,12508441.943675,12593121.182634,12508441.943675,12662242.232469,6912.277645,7959.111050,6912.277645,8795.851361
srasearch-chameleon-40a-003-hosts-16-simple-energy-mono,simple-energy-mono,srasearch-chameleon-40a-003,16,12799095.865749,12986227.993651,12799095.865749,13082974.349173,3481.092359,4037.966652,3481.092359,4497.019807
srasearch-chameleon-50a-003-hosts-2-simple-energy-mono,simple-energy-mono,srasearch-chameleon-50a-003,2,18536743.142384,18620254.403864,18536743.142384,18707944.842431,61441.256509,65312.454040,61441.256509,68295.467875
srasearch-chameleon-50a-003-hosts-4-simple-energy-mono,simple-energy-mono,srasearch-chameleon-50a-003,4,18799507.802750,18951629.475198,18799507.802750,19122222.412253,24715.899210,27745.531105,24715.899210,30868.800660
srasearch-chameleon-50a-003-hosts-8-simple-energy-mono,simple-energy-mono,srasearch-chameleon-50a-003,8,19168257.753400,19287196.352580,19168257.753400,19464020.498880,9518.872194,12038.900486,9518.872194,14768.429473
srasearch-chameleon-50a-003-hosts-16-simple-energy-mono,simple-energy-mono,srasearch-chameleon-50a-003,16,19619440.075193,19775079.797381,19619440.075193,19968296.406011,5036.003158,5785.076942,5036.003158,6457.703309
