Execution,Algorithm,Workflow,Hosts,Best ENERGY,Mean ENERGY,Min ENERGY,Max ENERGY,Best MAKESPAN,Mean MAKESPAN,Min MAKESPAN,Max MAKESPAN
cycles-chameleon-2l-1c-12p-001-hosts-16-multi-makespan-mono,multi-makespan-mono,cycles-chameleon-2l-1c-12p-001,16,2940176.953342,2956662.927251,2940176.953342,2975215.748836,732.742880,742.619087,732.742880,751.192199
cycles-chameleon-5l-1c-12p-001-hosts-2-multi-makespan-mono,multi-makespan-mono,cycles-chameleon-5l-1c-12p-001,2,5312198.004761,5331649.949422,5312198.004761,5345383.221370,9238.801839,9292.643465,9238.801839,9330.474681
cycles-chameleon-5l-1c-12p-001-hosts-4-multi-makespan-mono,multi-makespan-mono,cycles-chameleon-5l-1c-12p-001,4,5327373.616091,5357987.341294,5327373.616091,5376892.912350,4647.045520,4731.457690,4647.045520,4786.039473
cycles-chameleon-5l-1c-12p-001-hosts-8-multi-makespan-mono,multi-makespan-mono,cycles-chameleon-5l-1c-12p-001,8,5402089.883368,5432536.097544,5402089.883368,5460042.985390,2444.301347,2487.616024,2444.301347,2527.448634
cycles-chameleon-5l-1c-12p-001-hosts-16-multi-makespan-mono,multi-makespan-mono,cycles-chameleon-5l-1c-12p-001,16,5559636.818296,5611359.125778,5559636.818296,5645194.943034,1385.218851,1404.216387,1385.218851,1417.814111
epigenomics-chameleon-hep-1seq-100k-001-hosts-2-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-hep-1seq-100k-001,2,188043.546850,188073.832274,188043.546850,188123.242974,333.836233,333.886905,333.836233,333.985599
epigenomics-chameleon-hep-1seq-100k-001-hosts-4-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-hep-1seq-100k-001,4,193748.582066,193877.898394,193748.582066,194000.078695,197.540608,198.199586,197.540608,199.300152
epigenomics-chameleon-hep-1seq-100k-001-hosts-8-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-hep-1seq-100k-001,8,192719.745437,199554.373782,192719.745437,208320.432434,130.271203,130.288582,130.271203,130.299394
epigenomics-chameleon-hep-1seq-100k-001-hosts-16-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-hep-1seq-100k-001,16,208041.387174,231931.316804,208041.387174,248357.280091,105.702907,105.716797,105.702907,105.782459
epigenomics-chameleon-hep-6seq-100k-001-hosts-2-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-hep-6seq-100k-001,2,4446801.102897,4447135.704436,4446801.102897,4447481.615892,7744.550889,7745.082589,7744.550889,7745.583079
